Date,Close
7/20/2017,356.05
7/21/2017,345.34
7/24/2017,339.98
7/25/2017,348.62
7/26/2017,340.6
7/27/2017,349.84
7/28/2017,350.5
7/31/2017,343.77
8/1/2017,347.24
8/2/2017,351.06
8/3/2017,345.36
8/4/2017,344.56
8/7/2017,339.45
8/8/2017,333.64
8/9/2017,334.61
8/10/2017,322.65
8/11/2017,326.41
8/14/2017,322.4
8/15/2017,322.78
8/16/2017,320.13
8/17/2017,317.92
8/18/2017,311.24
8/21/2017,308.59
8/22/2017,305.51
8/23/2017,297.09
8/24/2017,301.92
8/25/2017,308.79
8/28/2017,312.02
8/29/2017,310.37
8/30/2017,315.13
8/31/2017,316.71
9/1/2017,319.95
9/5/2017,308.32
9/6/2017,317.88
9/7/2017,317.25
9/8/2017,300.03
9/11/2017,305.14
9/12/2017,308.83
9/13/2017,311.6
9/14/2017,310.59
9/15/2017,313.09
9/18/2017,301.87
9/19/2017,303.41
9/20/2017,312.39
9/21/2017,313.22
9/22/2017,314.31
9/25/2017,320.83
9/26/2017,319.21
9/27/2017,313.85
9/28/2017,316.53
9/29/2017,307.83
10/2/2017,301.81
10/3/2017,302.99
10/4/2017,306.81
10/5/2017,310.35
10/6/2017,307.64
10/9/2017,303.92
10/10/2017,310.88
10/11/2017,311.49
10/12/2017,314.17
10/13/2017,326.45
10/16/2017,320.39
10/17/2017,329.3
10/18/2017,318.24
10/19/2017,325.27
10/20/2017,324.76
10/23/2017,320.45
10/24/2017,324.3
10/25/2017,277.01
10/26/2017,281.52
10/27/2017,276.12
10/30/2017,268.7
10/31/2017,271.9
11/1/2017,270.2
11/2/2017,279.46
11/3/2017,273.53
11/6/2017,275.77
11/7/2017,274.5
11/8/2017,273.9
11/9/2017,275
11/10/2017,279.45
11/13/2017,277.5
11/14/2017,280.9
11/15/2017,285.45
11/16/2017,283.7
11/17/2017,289.84
11/20/2017,283.25
11/21/2017,279.51
11/22/2017,281.27
11/24/2017,279.31
11/27/2017,274.52
11/28/2017,285.86
11/29/2017,301.99
11/30/2017,304.39
12/1/2017,307.59
12/4/2017,315.6
12/5/2017,315.56
12/6/2017,310.67
12/7/2017,313.65
12/8/2017,315.9
12/11/2017,313.39
12/12/2017,318.38
12/13/2017,319.7
12/14/2017,314.02
12/15/2017,312.12
12/18/2017,313.42
12/19/2017,313.17
12/20/2017,298.67
12/21/2017,292.4
12/22/2017,295.23
12/26/2017,295.52
12/27/2017,295.42
12/28/2017,294.82
12/29/2017,289.03
1/2/2018,292.95
1/3/2018,309
1/4/2018,307.11
1/5/2018,313.79
1/8/2018,318.47
1/9/2018,319.37
1/10/2018,321.8
1/11/2018,325.5
1/12/2018,327.34
1/16/2018,327.37
1/17/2018,334.63
1/18/2018,337.53
1/19/2018,343.87
1/22/2018,330
1/23/2018,328.71
1/24/2018,329.53
1/25/2018,333.97
1/26/2018,330.23
1/29/2018,332.33
1/30/2018,322.08
1/31/2018,324.76
2/1/2018,314.72
2/2/2018,311.64
2/5/2018,300.3
2/6/2018,304.33
2/7/2018,272.21
2/8/2018,266.01
2/9/2018,255.46
2/12/2018,254.45
2/13/2018,251.33
2/14/2018,289.91
2/15/2018,286.65
2/16/2018,305.63
2/20/2018,317.57
2/21/2018,320.96
2/22/2018,313.91
2/23/2018,315.82
2/26/2018,311.89
2/27/2018,319.15
2/28/2018,318.41
3/1/2018,313.26
3/2/2018,319.99
3/5/2018,320.16
3/6/2018,318.04
3/7/2018,319.95
3/8/2018,321.86
3/9/2018,322.16
3/12/2018,323.76
3/13/2018,326.8
3/14/2018,319.66
3/15/2018,318.91
3/16/2018,320.2
3/19/2018,316.8
3/20/2018,320.17
3/21/2018,334.52
3/22/2018,336.71
3/23/2018,322.3
3/26/2018,327.86
3/27/2018,322.96
3/28/2018,319.51
3/29/2018,323.11
4/2/2018,311.16
4/3/2018,316.66
4/4/2018,325.84
4/5/2018,327.71
4/6/2018,318.07
4/9/2018,317.1
4/10/2018,321.77
4/11/2018,321.75
4/12/2018,325.08
4/13/2018,318.36
4/16/2018,326.6
4/17/2018,334.61
4/18/2018,339.36
4/19/2018,338.46
4/20/2018,331.95
4/23/2018,330.71
4/24/2018,333.1
4/25/2018,339.52
4/26/2018,422.5
4/27/2018,427.35
4/30/2018,423.33
5/1/2018,426.01
5/2/2018,421.22
5/3/2018,419.42
5/4/2018,420.41
5/7/2018,419.62
5/8/2018,424.42
5/9/2018,424.69
5/10/2018,422.67
5/11/2018,424.9
5/14/2018,425.06
5/15/2018,426.56
5/16/2018,444.67
5/17/2018,438.58
5/18/2018,438.58
5/21/2018,433.86
5/22/2018,433.44
5/23/2018,435.51
5/24/2018,433.43
5/25/2018,428.96
5/29/2018,433.01
5/30/2018,436.61
5/31/2018,436.61
6/1/2018,438.62
6/4/2018,443.83
6/5/2018,453.34
6/6/2018,453.82
6/7/2018,448.28
6/8/2018,453.38
6/11/2018,466.64
6/12/2018,466.3
6/13/2018,457.3
6/14/2018,460.44
6/15/2018,462.01
6/18/2018,468.46
6/19/2018,469.22
6/20/2018,465.5
6/21/2018,463.16
6/22/2018,469.94
6/25/2018,454.17
6/26/2018,461.7
6/27/2018,457.24
6/28/2018,428.36
6/29/2018,431.37
7/2/2018,442.82
7/3/2018,448.95
7/5/2018,448.02
7/6/2018,451.04
7/9/2018,463.89
7/10/2018,454.21
7/11/2018,457.18
7/12/2018,459.05
7/13/2018,457.21
7/16/2018,452.06
7/17/2018,452.54
7/18/2018,453.58
7/19/2018,454.83
7/20/2018,451.19
7/23/2018,456.59
7/24/2018,449.48
7/25/2018,451.63
7/26/2018,446.76
7/27/2018,472.3
7/30/2018,465.47
7/31/2018,433.66
8/1/2018,442.63
8/2/2018,460.38
8/3/2018,463.27
8/6/2018,475.25
8/7/2018,478.02
8/8/2018,487.57
8/9/2018,487.68
8/10/2018,485.47
8/13/2018,484.66
8/14/2018,493.32
8/15/2018,525.89
8/16/2018,502.7
8/17/2018,510.44
8/20/2018,515.75
8/21/2018,518.9
8/22/2018,523.58
8/23/2018,518.04
8/24/2018,520.71
8/27/2018,495.6
8/28/2018,494.09
8/29/2018,487.65
8/30/2018,483.99
8/31/2018,475.18
9/4/2018,477.49
9/5/2018,477.88
9/6/2018,481.05
9/7/2018,482.03
9/10/2018,489.12
9/11/2018,488.23
9/12/2018,494.77
9/13/2018,495.94
9/14/2018,491.56
9/17/2018,488.32
9/18/2018,491.49
9/19/2018,490.6
9/20/2018,480.1
9/21/2018,467.37
9/24/2018,465.89
9/25/2018,465.62
9/26/2018,467.91
9/27/2018,465.4
9/28/2018,454.52
10/1/2018,446.97
10/2/2018,436.37
10/3/2018,436.44
10/4/2018,447.77
10/5/2018,449.36
10/8/2018,448.56
10/9/2018,447.09
10/10/2018,434.21
10/11/2018,433.93
10/12/2018,435.71
10/15/2018,431.74
10/16/2018,433.95
10/17/2018,429.85
10/18/2018,431.73
10/19/2018,428.54
10/22/2018,431.19
10/23/2018,434.29
10/24/2018,413
10/25/2018,423.88
10/26/2018,438.38
10/29/2018,440.87
10/30/2018,461.77
10/31/2018,460.33
11/1/2018,472.62
11/2/2018,476.39
11/5/2018,469.65
11/6/2018,474.15
11/7/2018,477.49
11/8/2018,478.3
11/9/2018,490.76
11/12/2018,489.67
11/13/2018,484.82
11/14/2018,479.32
11/15/2018,472.3
11/16/2018,472.76
11/19/2018,465.87
11/20/2018,461.63
11/21/2018,471.26
11/23/2018,471.42
11/26/2018,466.02
11/27/2018,473.45
11/28/2018,490.52
11/29/2018,482.56
11/30/2018,473.21
12/3/2018,475.38
12/4/2018,468.35
12/6/2018,469.94
12/7/2018,467.43
12/10/2018,475.15
12/11/2018,472.35
12/12/2018,471.31
12/13/2018,472.73
12/14/2018,457.83
12/17/2018,443.5
12/18/2018,443.8
12/19/2018,427.05
12/20/2018,400.77
12/21/2018,394.42
12/24/2018,385.84
12/26/2018,405.72
12/27/2018,414.55
12/28/2018,424.19
12/31/2018,431.79
1/2/2019,443.36
1/3/2019,439.45
1/4/2019,455
1/7/2019,485.15
1/8/2019,497.37
1/9/2019,498.48
1/10/2019,509.62
1/11/2019,506.95
1/14/2019,501.99
1/15/2019,514.49
1/16/2019,514.82
1/17/2019,517.66
1/18/2019,513.24
1/22/2019,520.08
1/23/2019,521.37
1/24/2019,533.39
1/25/2019,543.37
1/28/2019,532
1/29/2019,530.06
1/30/2019,532.98
1/31/2019,529.61
2/1/2019,527.2
2/4/2019,527.92
2/5/2019,526.65
2/6/2019,526.06
2/7/2019,585.78
2/8/2019,582.77
2/11/2019,603.36
2/12/2019,593.66
2/13/2019,599.62
2/14/2019,604.43
2/15/2019,605.89
2/19/2019,599.46
2/20/2019,597.74
2/21/2019,601.19
2/22/2019,600.22
2/25/2019,596.66
2/26/2019,599.5
2/27/2019,599.28
2/28/2019,607.53
3/1/2019,611.63
3/4/2019,618.85
3/5/2019,616.01
3/6/2019,613.41
3/7/2019,609.53
3/8/2019,616.44
3/11/2019,616.88
3/12/2019,630.99
3/13/2019,637.07
3/14/2019,642.39
3/15/2019,639
3/18/2019,655.8
3/19/2019,665.86
3/20/2019,665.79
3/21/2019,670.45
3/22/2019,671.46
3/25/2019,676.77
3/26/2019,688.82
3/27/2019,697.87
3/28/2019,702.51
3/29/2019,710.31
4/1/2019,705.74
4/2/2019,704.8
4/3/2019,705.64
4/4/2019,703.38
4/5/2019,708.37
4/8/2019,714.68
4/9/2019,710.67
4/10/2019,718.85
4/11/2019,707.53
4/12/2019,712.44
4/15/2019,712.27
4/16/2019,706.48
4/17/2019,688.21
4/18/2019,700
4/22/2019,701.67
